6q1dX6thX3E_286_295	a man is talking on the phone	a man stands up and talks on his cellphone, three boys is talk in office, a man talking to someone on telephone, a man talks on the phone, a men is talking in phone, a man is talking on the phone, a lone man in a white shirt and brown tie looking unhappy, a man is speaking on a phone, a man is talking on mobile phone, a man is on conversation on phone, a man is talking on a cell phone, a man is talking on the phone, a man is talking on the phone, a man is talking on a phone, he is talking on the phone, a man is talking on the phone, a man is speaking phone, a man talks on a telephone, a man talks on the phone, the person is talking with phone, a person taking on phone, a man speaks on a cell phone, a man is talking on the phone, a man is talking on a phone, a man is talking on a cell phone, a man is talking on his cell phone, a mand talked on the phone, a man is talking on a phone, the man is talking on the phone, a man is talking on a mobile, a man is talking on a cordless phone, a man is talking on the phone, the man is talking on the phone, a man is speaking on a telephone, a man is talking in the phone, someone is talking on the phone, a man is talking in his mobile phone, a man is talking on the telephone, a man is talking on the phone, the man talked on the telephone, a man is talking on the phone, the man is very happy to speak in the cell phone, a man is talking on a phone, a man is chatting on phone, a man is talking in phone
5W02895vT8c_312_322	a plane is flying	an airplane is taking off from a runway, an airplane is taking off, a plane is taking off, the airplane is flying, the jet took off the runway, an aeroplane is starting to take off, an animated passenger plane is taking off, a plane takes off, the airplane took off from the runway, a aeroplane is running on the runway, a plane takes off, a plane is flying, a digital picture of a plane taking off from a runway is displayed, a plane is taking off, an animated airplane takes off, airoplane runing, an airplane is taking off on a runway, the plane is take off from the air port, a plane is taking off, a plane is taking off, the jet took off from the runway, the plane took off the runway, a simulated airplane takes off, a animated plane is taking off into the sky, an airplane is taking off, an aeroplane is landing, a computerized plane is taking off from a runway, a plane is taking off, a flight is in air, the airbus is ready to take off, a plane is taking off, the plane lifted from the runway into the sky, an air plane is taking off, take up the plain, a jet is taking off from the runway, the plane is taking off, the plane take off from the air port
Zqmx-nXhLAg_0_10	a man is holding a dog	a man is playing with a monkey, two boys play with an animal, two man are playing some animals, people were playing with a monkey, a man is holding a animal, a man is holding a slow loris, the man is holding the animal, a man is holding a small animal, a man handles a small animal, people were holding a tiny monkey in their arms, a man is holding a slow loris, the people seeing the animal, a manis playing with a monkey, a man playing with an animal, people are playing with an animal, a guy is holding a lemur, a man is carrying lemur, a man is holding a slow loris, a man is holding a slow loris, a man play with a pet animal, the man is holding a loris, a young man is holding and petting a small animal while another another man watches, a very short monkey is trying to eat, a man is pampering the pet, a loris wearing dress and being pampered by its owner, someone held the small monkey in her arms, a slow lori plays with someones hand, a couple is playing with puppy, a man is holding a small animal, a man is holding and playing with a loris, a person is petting a monkey, a man is playing with a panda baby, the man is holding a lemur, a man playing with a baby kola, a man is holding a slow loris, two boys are playing with panda, a group of guys playing with the animal
BVilbVCo9sU_1_11	a cat is playing	a cat is hissing at a bug, a cat is watching a bug, the cat was afraid of the bug on the floor, a large cat is watching and sniffing a spider, a large grey furry cat is closely examining a small cream colored beetle walking near it, a cat is intently watching an insect crawl across the floor, a cat is looking at a bug, the cat checked out the bug on the ground, a dog is doing something, the cat is watching a bug crawl, a cat is playing, a cat is watching a bug, a cat sniffs a bug, the cat was intrigued by the bug on the ground, a cat is investigating a bug, a cat is looking at an insect, a cute fight between cat and birds, a cat is looking at a bug, a cat is sniffing a bug, a cat is smelling something, a cat checks out something crawling on the ground, a cat is watching a bug on the floor, a cat is playing with a large white bug, an animal like cat trying to catch a little creature, the cat is watching a bug, the animal is eating the something
VahnQw2gTQY_203_210	a man is slicing a potato	a man cuts vegetables, a chef is slicing a potato, a man is slicing a potato, a person shows you a technique for slicing vegetables, someone is cutting a potato into thin slices, the lady sliced the potatoe, a man is slicing a potato, the person is cutting the alu, clear detail for knife techniques, a person with a knife is slicing a potato, a man is slicing a potato, a man is slicing a potato, a man is cutting potatoes, the man is slicing a potato, a person slices a potato, a chef is demonstrating how to slice a potato, the person is cutting the item, a cook slices potatoes, someone is cutting up a potatoe, a man cooking his kichen, a woman is cutting a vegetable, a man is cutting a potato into thin slices, a man is slicing a potato, a man is slicing vegetables, a man is cutting the potatoes, the man is slicing potatos, a man is slicing a potato into thin slices, someone is slicing potatoes, the lady sliced a potatoe, a man coking, a man is slicing a potato, cut your potates and not for sharpening eh then what do u use for sharpening your dick, a person is slicing a potato, a man is slicing a potato, a man is slicing a potato, a person is slicing a potato, someone is slicing a potato
GopEjCCu2jo_2_9	a baby is laughing	a baby is smiling, a little kid looks perplexed, babby is laughing, a baby is smiling, a baby is laughing, a baby is smiling, a baby is laughing, a baby sitting in a chair laughs then frowns laughs then frowns again, a baby is making happy and mad faces, a kid is laughing, the baby is making faces, a baby is smiling, a baby smiles, a baby is crying, a baby is laughing, the baby is smiling, a baby makes happy and mad faces, smiling and crying baby in a twist of second, the baby smiled, a baby seated is emoting facial expressions according to the words uttered by an adult in the background, a baby is laughing, the baby is smiling hearing some voices, a young child is making faces, a baby laugh very pretty, the baby is seeing something, a baby in a high chair laughs, a girl is smiling, a baby is laughing and making funny faces, a baby is smiling, this video shows a baby who smiles frowns and then smiles again, the baby alternated between laughter and a serious look, a baby is smiling, a small boy smiling, a weird baby, a baby is smiling, a baby is smiling
HmVPxs4ygMc_44_53	a man is cutting paper	a man is tearing a piece of paper, the person is cutting the paper, a man folds a paper diagnolly and tears of the extra paper on one side to make it square shaped, a man is makeing a paper cup, a person cuts a piece of paper, a man is ripping a piece of paper, a man is cutting a paper, a man tare a paper, somebody is tearing the papers, the man is tearing paper, a man folding paper, a guy tears off a piece of paper, a person is tearing some paper, someone is tearing paper, paper is being ripped apart, a child tears a piece of paper along a fold, a person is tearing a piece of paper, a guy is playing with the paper, a person is tearing the paper, a person tears a piece of paper into a triangular shape, a men making a paper cup, a man is cutting a paper by hands, a person is tearing paper, a man is cutting a piece of paper, someone is shown tearing off a rectangular piece of paper from a paper triangle, how to make a paper cup, a man showing how to cut a paper, a person is tearing paper, someone tears paper, a man trying to make a cup of a paper sheet, a man make paper cup, a demonstration on how to make a paper cup, a person is tearing a paper, a man tears off the excess from a folded sheet of white paper, a person is tearing the paper, trying to make paper cups, the man is showing how to make a paper cup, the boy is tearing paper, a person is tearing a piece of paper, a child tore a paper, a man is cutting a paper, paper is being torn, a man tears a piece of paper in half, a person is creating a paper cup, a kid do a craft paper cup, a man is tearing a piece of paper along a crease, paper is being ripped in half, a child tore a paper along a fold, a man is tearing a paper, person making something with paper, a person is tearing paper that had been folded, someone is tearing off a piece of folded paper, a person tears a piece of paper, a man is tearing paper along a crease, a man tearing paper
_6OTzzK7t9Y_158_170	a man is playing a piano	a man is playing the piano, a man is playing the piano, a man is playing a white piano, a man playing the piano, a man plays the piano, the man is playing music, a man playing piano, cooking in a frying pan on the cooking range, a man play hungarian clips, a man is playing the piano, a man is playing piano, the man played a white piano, a guy is playing the piano, a man is cooking, the man is playing music on the piano, a person is giving tips how to make hungarian crepes, a man is playing the piano, a mand played on a white piano, a man playing the piano, the man is playing the piano, a man is playing on a piano, a man playing some sort of notes on a piano, a man playing musical notes on a piano, the man played the piano, a man is playing a piano, a person is playing piano righ now, a man cooking his kichen, the man is playing the piano, a man is playing a piano, a man playing the piano, the man is playing the piano, a man is playing piano, a man is playing a piano, a man is playing a white piano, a keyboard is being played by a man, a man played a white piano, a man is playing a piano, a person is playing piano, a man is playing a piano, awesome hungarian creps, a man is playing piano, a man is playing the piano, a man plays a white piano, a man is playing a white grand piano, a man playing a white piano, a man is playing the piano, a man is playing a piano, a man is playing a piano, a man is playing piano, a man is playing the piano, a man playing the piano, a man is playing the piano, a man plays a white piano, a man is playing guitar, a man performing on a piano, a man is playing the piano, a man plays the piano, a man is playing a white piano
Ixw6wmoC_xg_116_126	a woman is carrying a baby can	a baby being dropped into a tub of water, a woman puts a baby in a trashcan, a woman puts a baby in a trash can, a woman puts a baby in a trashcan, a woman is putting her baby in a waste bin, a girl is putting a baby in a garbage can, a woman puts a baby in a trash can, a baby is being placed in a garbage can, the baby was put into the trash can, a woman puts a baby in a trash can, the baby is crying, the girl put the baby in the trash can, a girl is placing a baby into a trash can, teen places crying baby in trashcan, a small child cries bitterly as a woman lifts and dumps him in a dustbin by the roadside and walks away, a small baby is crying, what a funny family video, a woman put a baby in a trash can, the movie is called just for the hell of it and you can find the feature lena boy very bad behavear, a baby is placed into a garbage can, some terrorists are terrorizing a town, the lady put the baby int a trashcan, a woman puts a baby in a trashcan, a young girl puts a small child into a metal trash can, a woman carrying a baby puts him in a garbage can, the girl put the baby into the trashcan, a small boy crying, a woman is putting a small baby in a water pip, a woman puts a baby in a trash can, a woman places a baby in a trash can, a woman is putting a baby into a trash can
8mSUD7JGNO0_198_204	a woman is riding a horse	the woman is riding a horse in the snow, a girl is riding a horse, a child rides a horse in the snow, a boy raiding a horse, a woman riding a horse in the snow, a lady riding a horse, a woman is riding a horse through the snow, the person is doing horse raiding, a girl rides a horse through the snow, a girl is riding a horse through the snow, a girl is riding a horse in the snow, a woman is riding a horse, a child is riding a horse in the snow, a woman is riding a horse on snow, a woman is riding on the horse, a woman is riding a horse in the snow, boy doing horse riding, a lady is riding on the horse, a girl is riding a horse outside, a men riding the hourse, a person rides a horse in the snow, a girl is riding a horse in the snow, a man is riding a horse, the lady is enjoying a horseback riding under the falling snow, a man is riding the horse in the snow, a young girl is riding as horse in the snow, a girl is riding a horse in the snow, a girl is riding her horse in various seasons and various locations, a girl is riding a horse in the snow, a woman is riding a horse in the ice, a woman riding a horse in the snow, a men walking on horse, the child riding the horse, a girl riding a horse in the snow, a woman is riding a horse in the snow, a boy riding a horse in some kind of snowy area, a boy is riding a horse in snow, a woman is riding on a horse, a man is riding a horse in a snow rain, a girl riding on horse, a woman is riding a horse, the horse and rider rode in the snow, a man is riding horse in a cold region, winter horse ride, a woman is riding a horse, the girl rode her horse in the snow, a girl riding horse, a boy riding on the horse, a person is riding a horse in the snow, a man is riding on the horse, a girl riding horse, fiona my best friend, a girl is riding a horse, a girl is sitting on the horse, a woman is riding her horse in the snow
